Index,PG,MV CAViaR,MV CAViaR + AR(1),MV CAViaR + SAV,MV CAViaR + AS,SAV,Abs. Slope,Ind. GARCH,Adaptive
2014-06-19,0.0011202162918531,-0.0156216022401719,-0.0147691617007888,-0.015346426240411,-0.0117498288743419,-0.0103988607637551,-0.00948781374798063,-0.0104919414163003,-0.0115984899499003
2014-06-20,0.00202807895715118,-0.0167224627127464,-0.0162867707369838,-0.0142455106520737,-0.0125525638851184,-0.00972353262137306,-0.00924903771289753,-0.0102748104244997,-0.0115683348606134
2014-06-23,-0.000305942800871151,-0.0168945630433903,-0.0170635411546607,-0.0148215211294911,-0.0146518987557436,-0.00946289996326834,-0.00902040479777642,-0.0101114871793118,-0.0115461889450153
2014-06-24,-0.00604251235626396,-0.0172970361043345,-0.0175982417000786,-0.0143911075836059,-0.0218637822862493,-0.00876657372496657,-0.0088776790731845,-0.0099286543678354,-0.0115409324691658
2014-06-25,0.00450953512142416,-0.0178781517182185,-0.0176896643879201,-0.012825885570484,-0.0196911317592576,-0.00962043720429594,-0.0103736589868843,-0.0101094878465578,-0.011525711370774
2014-06-26,-0.000716061288863479,-0.0164122948314436,-0.0163321472388981,-0.0152115251539105,-0.0140567403247717,-0.00995233651059404,-0.0100562725137913,-0.0102262399676782,-0.0111642352975986
2014-06-27,0.00194246953531074,-0.017147450955206,-0.0170320833692996,-0.0140415848780646,-0.0204378385849118,-0.0092856734616488,-0.00990010520994622,-0.0100392543066193,-0.0115343390017958
2014-06-30,-0.000510681724446904,-0.0168427932311166,-0.0168837995261718,-0.0147230182439735,-0.0142176618738375,-0.00902859851089189,-0.0095825205380464,-0.00988526644697172,-0.0115132415675471
2014-07-01,0.00667089918974995,-0.0170692510828901,-0.0168568347417047,-0.0140262666835881,-0.0201340673541809,-0.00845401760219195,-0.00940143641615921,-0.00970975900234032,-0.0113513088365891
2014-07-02,0.00101422625603131,-0.0164224702114422,-0.0169842331066538,-0.0160861080143769,-0.0163985110899947,-0.00950641867985068,-0.00923452223437044,-0.0101293383002201,-0.0110904513377931
2014-07-03,0.00490636209902906,-0.0172505810963934,-0.0178387195280231,-0.0148598239963918,-0.0159519280013183,-0.00898312575980777,-0.00896500310636567,-0.00993717969708754,-0.011042901057929
2014-07-07,-0.00348763872047009,-0.0165320890901192,-0.016805218873248,-0.0155187099125655,-0.0152706519000058,-0.00951326132774905,-0.00841151011830563,-0.0100638477473961,-0.0110443423318579
2014-07-08,-0.00645049806842479,-0.0175819178780462,-0.0175368102486418,-0.0134764543534711,-0.0204099609790166,-0.0096064904361194,-0.00879238860601822,-0.0100223220405631,-0.0109953372821828
2014-07-09,0.004474054225863,-0.0177902194006357,-0.0173088532957805,-0.0125538630491023,-0.0186772946179419,-0.0104251494497173,-0.0102580898982871,-0.0103564950695713,-0.0109914662342079
2014-07-10,-0.00396489671645117,-0.0164873825063284,-0.0165469325662633,-0.0152907281663886,-0.0145185844882485,-0.0106231324340928,-0.00984595784253355,-0.0103789384869294,-0.0110155716529209
2014-07-11,0.00137440762536745,-0.0175782980774918,-0.0173887071763543,-0.0132816278964184,-0.0198837395904571,-0.0106623020786545,-0.0106120873327947,-0.0103417155726273,-0.0109113624146318
2014-07-14,0.00502285175849959,-0.0169904758834709,-0.0171629378225387,-0.0146800862202956,-0.014601744376331,-0.0099403570937382,-0.0101105683388465,-0.010156651248937,-0.0108982816330511
2014-07-15,-0.00187464220341305,-0.0167285409239115,-0.0174273604119423,-0.0158094029391753,-0.016699213237279,-0.010344651422748,-0.0098042220527458,-0.00998376440312132,-0.0107270131474529
2014-07-16,0.00369468964285335,-0.0174520010079133,-0.0176114222006764,-0.0139581840489929,-0.0212434342579722,-0.00987370881225807,-0.00979685056015699,-0.00980294395340545,-0.0107170173356776
2014-07-17,-0.0114310425678879,-0.0165674063232586,-0.0165625713460439,-0.0150794139616801,-0.0142305504419662,-0.00994801650288829,-0.009243147804101,-0.00977247350286299,-0.0106962323424826
2014-07-18,0.0101673610393718,-0.0186910549700355,-0.0185756997382306,-0.0116876276012553,-0.0194255818240336,-0.0123167988080973,-0.0133390727257976,-0.0116932440407002,-0.0110026612421815
2014-07-21,-0.0018733371421531,-0.015593555509652,-0.0155060729540141,-0.0164499201324259,-0.0145668378649514,-0.0136778718870578,-0.0125040568732901,-0.0125555515711819,-0.0109959014395859
2014-07-22,0.00434869112684488,-0.0174620937502242,-0.017642038983557,-0.0139712522597478,-0.021311903055142,-0.0126956038743696,-0.0123907693700424,-0.01209957384841,-0.0105312898974426
2014-07-23,0.00221731977384643,-0.0165881874210615,-0.0168129262695856,-0.0153660598349714,-0.0150568230678674,-0.012496089688509,-0.0115646148926137,-0.0118699484893887,-0.0105455643289714
2014-07-24,5.06525195360652e-05,-0.0168280671060465,-0.0169187202709654,-0.0148143178224598,-0.0144089535077332,-0.0117909603469598,-0.0110394689439385,-0.011502029435841,-0.0104723519628279
2014-07-25,-0.00469295727920738,-0.0170441806213087,-0.0169431514414407,-0.0142189529233861,-0.0135659512326959,-0.010627507374561,-0.0105672114003434,-0.0111140273546554,-0.00991056964767316
2014-07-28,0.000404657792714147,-0.0178060497726764,-0.0178617461101948,-0.0132744354017987,-0.0206317679056069,-0.0108553560979846,-0.0115972871288896,-0.0110656420588097,-0.00987597865068281
2014-07-29,-0.00430650632239971,-0.0169429252299257,-0.0167415642217474,-0.0142342416235316,-0.013265288711808,-0.0099552937890201,-0.0109236142935368,-0.0107266202651226,-0.00984109798431233
2014-07-30,0.000152456628729425,-0.0178324784020522,-0.0180520769442723,-0.0134614058277279,-0.0212140757679212,-0.0101670248008936,-0.0116465594828388,-0.0106835267132452,-0.00985460456526214
2014-07-31,-0.0199458313386227,-0.0175574193874376,-0.0185102760836052,-0.0148976336562985,-0.0170850320658974,-0.00936306009144978,-0.011027908556349,-0.0104029450628164,-0.00982111133944587
2014-08-01,-0.00306025505206975,-0.019972067890012,-0.0199652632227296,-0.00988462171305182,-0.0189826228608486,-0.0138164608736905,-0.0166850381948247,-0.0147518029302712,-0.0102745978665056
2014-08-04,0.0071946617251939,-0.0171947965114968,-0.0164997698868386,-0.0131656038852355,-0.0182860936626923,-0.0131374922685744,-0.0163329662149584,-0.0141465768008377,-0.010298122950853
2014-08-05,-0.0097434988191214,-0.0162263762322443,-0.0165472969512384,-0.0160511866486355,-0.0156459838724777,-0.0136123282138522,-0.0154708619974572,-0.0140325605541883,-0.0102890409567293
2014-08-06,0.000312557811915859,-0.0185469077241513,-0.0186291117981681,-0.01218139419412,-0.0202428893119902,-0.0145604594969991,-0.0173296325431384,-0.0143574605864737,-0.0102722167295362
2014-08-07,-0.00542952900631999,-0.0171305966419488,-0.0172774072161782,-0.0144308347697978,-0.0144160065080101,-0.0130558095022408,-0.0163063320539711,-0.0136683028291398,-0.0102650545635156
2014-08-08,0.0115024658301994,-0.0177291662608309,-0.0174195415902365,-0.0128851121488903,-0.0193456533857958,-0.0131080666095061,-0.0164687027534294,-0.0132816598517509,-0.0102142076939291
2014-08-11,0.00289370655997168,-0.0151891482300534,-0.0146782935971793,-0.016479569955527,-0.0132831336698631,-0.0147193795334628,-0.0156385145117433,-0.0141972593735417,-0.0103330668890172
2014-08-12,-0.00139417032414535,-0.0167887599544163,-0.0169954672703971,-0.0150351862592368,-0.0148593179993808,-0.0137972268881223,-0.0146523113212021,-0.0136314115856448,-0.0103099496043839
2014-08-13,0.00674639422477874,-0.0172535021225272,-0.0171548299266387,-0.0139030088721715,-0.0204293702429109,-0.0126463427779105,-0.0140750033533688,-0.0130626183098337,-0.0103305304769881
2014-08-14,0.00471058975483363,-0.0161541530566777,-0.0162019712212824,-0.0157826304481394,-0.0146941963523484,-0.0130891803567131,-0.0133965280344426,-0.0128238752170322,-0.0102997807349467
2014-08-15,-0.00020420202464333,-0.0163722937422222,-0.0162701119568755,-0.0152419727106355,-0.0140023606208092,-0.0129293963917424,-0.012579873695658,-0.012502248627345,-0.0102649445339205
2014-08-18,0.0083444991570838,-0.0169622364430635,-0.0166243226584637,-0.0140154424526639,-0.0197451128088964,-0.0114843987469135,-0.0118381100230806,-0.011934299764157,-0.0102082267088131
2014-08-19,0.00520495509146635,-0.0160075745096022,-0.0162223761084973,-0.0162377069473091,-0.0154012357905181,-0.0124489178862607,-0.0111457331395328,-0.0123671796811885,-0.0101906636214438
2014-08-20,0.00266801291688967,-0.016234292398867,-0.0159987875716187,-0.0152675514615649,-0.0136050971586632,-0.012490168802755,-0.0105129699920313,-0.0121747471179841,-0.0102401353719546
2014-08-21,0.00291163265242833,-0.0167553722680148,-0.0168305175681915,-0.0149036725680986,-0.0143998912173791,-0.0118609863906716,-0.00983462764511708,-0.0117432929220694,-0.0102242360515528
2014-08-22,-0.00155512360589061,-0.0167890701048476,-0.0170015520404375,-0.0150427206154388,-0.014880241175937,-0.0114055566567608,-0.00918145790950792,-0.0113879168129289,-0.00963219417005197
2014-08-25,0.00505744149514964,-0.0173932063423296,-0.0175271442691423,-0.0140125089149023,-0.0211887609489,-0.0106753233790474,-0.00933400643202432,-0.0109938031995385,-0.00958985515993044
2014-08-26,0.000649163970845024,-0.0162869210843744,-0.0161140577513614,-0.015274154795998,-0.0137997583493229,-0.0109887035275073,-0.00883856477750283,-0.0109929289247938,-0.00958119439083791
2014-08-27,-0.000399378356823021,-0.0172018316619564,-0.017587658872322,-0.0146536329208983,-0.0152437379732812,-0.0100944640079991,-0.00843496140075067,-0.01062158298078,-0.00955951315442973
2014-08-28,-0.000549223017123346,-0.0169447026417624,-0.0165156534643948,-0.013915809071337,-0.0194231906839707,-0.0092917975618564,-0.00824328289550049,-0.0102958179103679,-0.00952529308413672
2014-08-29,0.00284370106185605,-0.0170492137748261,-0.0167857115524549,-0.0139859854577593,-0.0199603090699134,-0.0086686114122931,-0.00812151110857629,-0.0100168842994156,-0.00953838321811426
2014-09-02,-0.000498236730286372,-0.0166729455202531,-0.0166340646206104,-0.0148712586581433,-0.0140367796300893,-0.00875445813850197,-0.00759905479776922,-0.00990286143567084,-0.00950422173628597
2014-09-03,-0.000548320986794693,-0.0173405214720911,-0.0176732366546385,-0.0143684855323286,-0.0219505429258778,-0.00820053891862921,-0.00750422431527885,-0.00967803285606175,-0.00951698510457285
2014-09-04,-0.00144728567626018,-0.017020076690653,-0.0166986658794951,-0.0139501206081963,-0.0197675574290415,-0.00772338760554618,-0.00744853886424697,-0.00948633082506153,-0.00948937982523134
2014-09-05,0.00448482459438004,-0.0172369083279356,-0.0170898333095073,-0.0138611967790872,-0.0202631697179666,-0.0075486114685502,-0.00771932313554606,-0.0093528581229116,-0.00929307959568826
2014-09-08,-0.00258884252467517,-0.0162403506490492,-0.0158098345511789,-0.014987901857678,-0.0128876710542644,-0.00820425028346347,-0.00741270181218911,-0.00954562051087786,-0.00925736690984796
